delay,w50w_delta,w50w_omicron,w50b_delta,w50b_omicron,w51w_delta,w51w_omicron,w51b_delta,w51b_omicron
-5,0,0,0,0,3,0,0,0
-4,1,1,0,0,2,0,0,0
-3,1,1,2,1,3,4,1,0
-2,4,0,1,0,11,2,2,1
-1,11,0,5,2,8,8,3,4
0,38,7,7,2,38,31,8,12
1,73,20,15,11,64,64,17,35
2,100,32,32,11,99,110,23,39
3,119,32,30,13,109,95,31,37
4,114,29,20,14,78,65,17,25
5,106,15,13,7,60,42,10,20
6,67,10,11,1,41,27,13,11
7,49,9,9,4,24,11,2,6
8,31,4,2,3,17,9,2,2
9,17,0,2,2,7,7,0,0
10,9,1,4,0,2,1,1,0
11,8,1,4,0,3,0,0,0
12,6,1,1,0,0,2,0,0
13,5,0,0,0,1,1,0,1
14,1,1,0,0,1,1,0,0
15,1,0,0,0,1,0,0,0